"year","r","hh","numhh"
2016,"AL","hh1",0.50616026
2016,"AL","hh2",0.45697232
2016,"AL","hh3",0.35432849
2016,"AL","hh4",0.3339663
2016,"AL","hh5",0.30650774
2016,"AK","hh1",0.03413904
2016,"AK","hh2",0.04199605
2016,"AK","hh3",0.05198847
2016,"AK","hh4",0.06948362
2016,"AK","hh5",0.06212448
2016,"AZ","hh1",0.54250901
2016,"AZ","hh2",0.54214492
2016,"AZ","hh3",0.61788984
2016,"AZ","hh4",0.55935657
2016,"AZ","hh5",0.44496573
2016,"AR","hh1",0.31708435
2016,"AR","hh2",0.29575545
2016,"AR","hh3",0.26287573
2016,"AR","hh4",0.18824665
2016,"AR","hh5",0.15694209
2016,"CA","hh1",2.75060939
2016,"CA","hh2",2.4129229
2016,"CA","hh3",2.55626894
2016,"CA","hh4",2.78740447
2016,"CA","hh5",3.52492358
2016,"CO","hh1",0.35210198
2016,"CO","hh2",0.38490668
2016,"CO","hh3",0.4826481
2016,"CO","hh4",0.53255135
2016,"CO","hh5",0.54747181
2016,"CT","hh1",0.22313895
2016,"CT","hh2",0.2307559
2016,"CT","hh3",0.25407699
2016,"CT","hh4",0.27997696
2016,"CT","hh5",0.42909423
2016,"DE","hh1",0.07244251
2016,"DE","hh2",0.08282366
2016,"DE","hh3",0.089312
2016,"DE","hh4",0.07377962
2016,"DE","hh5",0.07295307
2016,"DC","hh1",0.07379067
2016,"DC","hh2",0.04234785
2016,"DC","hh3",0.04985373
2016,"DC","hh4",0.06049816
2016,"DC","hh5",0.09471895
2016,"FL","hh1",1.88699728
2016,"FL","hh2",1.98646755
2016,"FL","hh3",1.75119498
2016,"FL","hh4",1.59530928
2016,"FL","hh5",1.29865293
2016,"GA","hh1",0.85356408
2016,"GA","hh2",0.83043806
2016,"GA","hh3",0.84407433
2016,"GA","hh4",0.80183107
2016,"GA","hh5",0.6674577
2016,"HI","hh1",0.08162896
2016,"HI","hh2",0.07624567
2016,"HI","hh3",0.08901825
2016,"HI","hh4",0.10407027
2016,"HI","hh5",0.12641264
2016,"ID","hh1",0.12048053
2016,"ID","hh2",0.13221682
2016,"ID","hh3",0.15040079
2016,"ID","hh4",0.14013693
2016,"ID","hh5",0.09275576
2016,"IL","hh1",0.90762821
2016,"IL","hh2",0.943523
2016,"IL","hh3",1.01200181
2016,"IL","hh4",1.04103306
2016,"IL","hh5",1.13749828
2016,"IN","hh1",0.57543489
2016,"IN","hh2",0.53329955
2016,"IN","hh3",0.4624446
2016,"IN","hh4",0.6316784
2016,"IN","hh5",0.42809351
2016,"IA","hh1",0.22212189
2016,"IA","hh2",0.25836536
2016,"IA","hh3",0.31907903
2016,"IA","hh4",0.26647766
2016,"IA","hh5",0.2557477
2016,"KS","hh1",0.23393903
2016,"KS","hh2",0.25875254
2016,"KS","hh3",0.23667366
2016,"KS","hh4",0.22458308
2016,"KS","hh5",0.20122602
2016,"KY","hh1",0.44872429
2016,"KY","hh2",0.48759602
2016,"KY","hh3",0.34398815
2016,"KY","hh4",0.28405184
2016,"KY","hh5",0.26276238
2016,"LA","hh1",0.53928759
2016,"LA","hh2",0.44019407
2016,"LA","hh3",0.31427654
2016,"LA","hh4",0.32676443
2016,"LA","hh5",0.24170341
2016,"ME","hh1",0.13041943
2016,"ME","hh2",0.14399421
2016,"ME","hh3",0.10354337
2016,"ME","hh4",0.10348627
2016,"ME","hh5",0.10540735
2016,"MD","hh1",0.33144844
2016,"MD","hh2",0.42564721
2016,"MD","hh3",0.39697117
2016,"MD","hh4",0.46225978
2016,"MD","hh5",0.69927755
2016,"MA","hh1",0.5048136
2016,"MA","hh2",0.44161215
2016,"MA","hh3",0.46552212
2016,"MA","hh4",0.57699919
2016,"MA","hh5",0.77421191
2016,"MI","hh1",0.73491253
2016,"MI","hh2",0.90353403
2016,"MI","hh3",0.89076614
2016,"MI","hh4",0.77522703
2016,"MI","hh5",0.74848842
2016,"MN","hh1",0.33417455
2016,"MN","hh2",0.41736249
2016,"MN","hh3",0.42058617
2016,"MN","hh4",0.55455821
2016,"MN","hh5",0.49177141
2016,"MS","hh1",0.34970873
2016,"MS","hh2",0.28229217
2016,"MS","hh3",0.21451139
2016,"MS","hh4",0.19878443
2016,"MS","hh5",0.12838647
2016,"MO","hh1",0.50481079
2016,"MO","hh2",0.52639107
2016,"MO","hh3",0.58576206
2016,"MO","hh4",0.46018489
2016,"MO","hh5",0.36410978
2016,"MT","hh1",0.08503438
2016,"MT","hh2",0.08854168
2016,"MT","hh3",0.10251521
2016,"MT","hh4",0.08458034
2016,"MT","hh5",0.07429085
2016,"NE","hh1",0.12789658
2016,"NE","hh2",0.16495601
2016,"NE","hh3",0.16647479
2016,"NE","hh4",0.17411928
2016,"NE","hh5",0.12921807
2016,"NV","hh1",0.21382123
2016,"NV","hh2",0.25767132
2016,"NV","hh3",0.25519937
2016,"NV","hh4",0.23728179
2016,"NV","hh5",0.17585209
2016,"NH","hh1",0.07303536
2016,"NH","hh2",0.09182485
2016,"NH","hh3",0.09547866
2016,"NH","hh4",0.1231328
2016,"NH","hh5",0.14971963
2016,"NJ","hh1",0.63746356
2016,"NJ","hh2",0.5603052
2016,"NJ","hh3",0.6213095
2016,"NJ","hh4",0.63367716
2016,"NJ","hh5",0.97225916
2016,"NM","hh1",0.21479365
2016,"NM","hh2",0.19179712
2016,"NM","hh3",0.16198537
2016,"NM","hh4",0.13521033
2016,"NM","hh5",0.11603267
2016,"NY","hh1",1.55358742
2016,"NY","hh2",1.43316989
2016,"NY","hh3",1.51796732
2016,"NY","hh4",1.45403086
2016,"NY","hh5",1.79243224
2016,"NC","hh1",0.87959282
2016,"NC","hh2",0.86175647
2016,"NC","hh3",0.87523274
2016,"NC","hh4",0.80102187
2016,"NC","hh5",0.62065463
2016,"ND","hh1",0.05443126
2016,"ND","hh2",0.06499241
2016,"ND","hh3",0.06936067
2016,"ND","hh4",0.07436874
2016,"ND","hh5",0.05821026
2016,"OH","hh1",1.02315899
2016,"OH","hh2",0.96200852
2016,"OH","hh3",0.95909088
2016,"OH","hh4",0.97265461
2016,"OH","hh5",0.81563823
2016,"OK","hh1",0.35187723
2016,"OK","hh2",0.37652641
2016,"OK","hh3",0.30321564
2016,"OK","hh4",0.29489086
2016,"OK","hh5",0.24161871
2016,"OR","hh1",0.32714264
2016,"OR","hh2",0.34450592
2016,"OR","hh3",0.36291167
2016,"OR","hh4",0.36603979
2016,"OR","hh5",0.31209031
2016,"PA","hh1",0.9949181
2016,"PA","hh2",0.9213756
2016,"PA","hh3",1.08706219
2016,"PA","hh4",1.14222088
2016,"PA","hh5",0.98354645
2016,"RI","hh1",0.09122198
2016,"RI","hh2",0.08819203
2016,"RI","hh3",0.08600842
2016,"RI","hh4",0.09273015
2016,"RI","hh5",0.09463376
2016,"SC","hh1",0.44849968
2016,"SC","hh2",0.45722808
2016,"SC","hh3",0.3956711
2016,"SC","hh4",0.44718688
2016,"SC","hh5",0.29435931
2016,"SD","hh1",0.08111778
2016,"SD","hh2",0.06439532
2016,"SD","hh3",0.07506856
2016,"SD","hh4",0.07187159
2016,"SD","hh5",0.05674967
2016,"TN","hh1",0.66863702
2016,"TN","hh2",0.56126675
2016,"TN","hh3",0.58625219
2016,"TN","hh4",0.51758498
2016,"TN","hh5",0.40909526
2016,"TX","hh1",1.89264788
2016,"TX","hh2",2.20257077
2016,"TX","hh3",2.08901107
2016,"TX","hh4",1.90114551
2016,"TX","hh5",2.05252225
2016,"UT","hh1",0.14018248
2016,"UT","hh2",0.18089011
2016,"UT","hh3",0.25106275
2016,"UT","hh4",0.25110646
2016,"UT","hh5",0.22290946
2016,"VT","hh1",0.05439181
2016,"VT","hh2",0.04671167
2016,"VT","hh3",0.06452336
2016,"VT","hh4",0.05179384
2016,"VT","hh5",0.05608476
2016,"VA","hh1",0.61566373
2016,"VA","hh2",0.58092384
2016,"VA","hh3",0.5799195
2016,"VA","hh4",0.66348798
2016,"VA","hh5",0.80527429
2016,"WA","hh1",0.45847325
2016,"WA","hh2",0.48917752
2016,"WA","hh3",0.558449
2016,"WA","hh4",0.68171543
2016,"WA","hh5",0.65393661
2016,"WV","hh1",0.22467155
2016,"WV","hh2",0.16269004
2016,"WV","hh3",0.16779389
2016,"WV","hh4",0.11433183
2016,"WV","hh5",0.09310993
2016,"WI","hh1",0.41532368
2016,"WI","hh2",0.51955804
2016,"WI","hh3",0.50222087
2016,"WI","hh4",0.53018757
2016,"WI","hh5",0.42116271
2016,"WY","hh1",0.04889751
2016,"WY","hh2",0.04901091
2016,"WY","hh3",0.05115008
2016,"WY","hh4",0.05236088
2016,"WY","hh5",0.03868536
2022,"AL","hh1",0.50717319
2022,"AL","hh2",0.48939634
2022,"AL","hh3",0.43406311
2022,"AL","hh4",0.33405153
2022,"AL","hh5",0.25709779
2022,"AK","hh1",0.04179768
2022,"AK","hh2",0.04911657
2022,"AK","hh3",0.04763104
2022,"AK","hh4",0.06161552
2022,"AK","hh5",0.06729673
2022,"AZ","hh1",0.55001642
2022,"AZ","hh2",0.55201385
2022,"AZ","hh3",0.60182568
2022,"AZ","hh4",0.58201834
2022,"AZ","hh5",0.53928079
2022,"AR","hh1",0.33385874
2022,"AR","hh2",0.32936101
2022,"AR","hh3",0.24231797
2022,"AR","hh4",0.21486743
2022,"AR","hh5",0.13012655
2022,"CA","hh1",2.6125889
2022,"CA","hh2",2.3655374
2022,"CA","hh3",2.70730582
2022,"CA","hh4",2.87820098
2022,"CA","hh5",3.57708046
2022,"CO","hh1",0.33642639
2022,"CO","hh2",0.37870814
2022,"CO","hh3",0.5224548
2022,"CO","hh4",0.51799488
2022,"CO","hh5",0.60633552
2022,"CT","hh1",0.24894422
2022,"CT","hh2",0.23377985
2022,"CT","hh3",0.26028007
2022,"CT","hh4",0.32431862
2022,"CT","hh5",0.36550405
2022,"DE","hh1",0.06017253
2022,"DE","hh2",0.08060668
2022,"DE","hh3",0.0923387
2022,"DE","hh4",0.08588035
2022,"DE","hh5",0.08873508
2022,"DC","hh1",0.07329173
2022,"DC","hh2",0.03836109
2022,"DC","hh3",0.04081207
2022,"DC","hh4",0.06154101
2022,"DC","hh5",0.10485411
2022,"FL","hh1",2.08288338
2022,"FL","hh2",2.14735445
2022,"FL","hh3",1.8559237
2022,"FL","hh4",1.76354093
2022,"FL","hh5",1.36751041
2022,"GA","hh1",0.86435804
2022,"GA","hh2",0.95030072
2022,"GA","hh3",0.85281934
2022,"GA","hh4",0.82123452
2022,"GA","hh5",0.7103865
2022,"HI","hh1",0.08197644
2022,"HI","hh2",0.07907262
2022,"HI","hh3",0.09286959
2022,"HI","hh4",0.12115949
2022,"HI","hh5",0.12113615
2022,"ID","hh1",0.12141816
2022,"ID","hh2",0.17834523
2022,"ID","hh3",0.16481582
2022,"ID","hh4",0.17154043
2022,"ID","hh5",0.12149733
2022,"IL","hh1",0.95771229
2022,"IL","hh2",0.97229294
2022,"IL","hh3",0.97275081
2022,"IL","hh4",1.01119483
2022,"IL","hh5",1.14645729
2022,"IN","hh1",0.52631298
2022,"IN","hh2",0.59476145
2022,"IN","hh3",0.60456965
2022,"IN","hh4",0.58764019
2022,"IN","hh5",0.44256123
2022,"IA","hh1",0.22194978
2022,"IA","hh2",0.30060528
2022,"IA","hh3",0.26868739
2022,"IA","hh4",0.31496056
2022,"IA","hh5",0.23602305
2022,"KS","hh1",0.23766851
2022,"KS","hh2",0.26729953
2022,"KS","hh3",0.21324058
2022,"KS","hh4",0.2350462
2022,"KS","hh5",0.24090738
2022,"KY","hh1",0.4896962
2022,"KY","hh2",0.50046437
2022,"KY","hh3",0.38192175
2022,"KY","hh4",0.29807329
2022,"KY","hh5",0.23691491
2022,"LA","hh1",0.53283746
2022,"LA","hh2",0.38059605
2022,"LA","hh3",0.38477084
2022,"LA","hh4",0.3000902
2022,"LA","hh5",0.24043348
2022,"ME","hh1",0.11806655
2022,"ME","hh2",0.13461873
2022,"ME","hh3",0.1159481
2022,"ME","hh4",0.13977519
2022,"ME","hh5",0.08336866
2022,"MD","hh1",0.27964672
2022,"MD","hh2",0.34629941
2022,"MD","hh3",0.38167605
2022,"MD","hh4",0.48437686
2022,"MD","hh5",0.79804914
2022,"MA","hh1",0.48196224
2022,"MA","hh2",0.41614531
2022,"MA","hh3",0.46966445
2022,"MA","hh4",0.52297883
2022,"MA","hh5",0.85908128
2022,"MI","hh1",0.8534219
2022,"MI","hh2",0.88473533
2022,"MI","hh3",0.84242193
2022,"MI","hh4",0.82610398
2022,"MI","hh5",0.75019096
2022,"MN","hh1",0.33723793
2022,"MN","hh2",0.4408484
2022,"MN","hh3",0.42625997
2022,"MN","hh4",0.56684166
2022,"MN","hh5",0.53449792
2022,"MS","hh1",0.38828949
2022,"MS","hh2",0.28720829
2022,"MS","hh3",0.22144909
2022,"MS","hh4",0.16282828
2022,"MS","hh5",0.10230735
2022,"MO","hh1",0.52091094
2022,"MO","hh2",0.51634968
2022,"MO","hh3",0.55948928
2022,"MO","hh4",0.53360665
2022,"MO","hh5",0.38799716
2022,"MT","hh1",0.09890214
2022,"MT","hh2",0.10269478
2022,"MT","hh3",0.09672457
2022,"MT","hh4",0.10661265
2022,"MT","hh5",0.07675304
2022,"NE","hh1",0.13480779
2022,"NE","hh2",0.16414638
2022,"NE","hh3",0.17069809
2022,"NE","hh4",0.18156353
2022,"NE","hh5",0.13776457
2022,"NV","hh1",0.22495588
2022,"NV","hh2",0.25926497
2022,"NV","hh3",0.28529818
2022,"NV","hh4",0.25554821
2022,"NV","hh5",0.19604492
2022,"NH","hh1",0.08767579
2022,"NH","hh2",0.12401869
2022,"NH","hh3",0.10490267
2022,"NH","hh4",0.13958457
2022,"NH","hh5",0.13428427
2022,"NJ","hh1",0.55986574
2022,"NJ","hh2",0.60658755
2022,"NJ","hh3",0.59199804
2022,"NJ","hh4",0.71831311
2022,"NJ","hh5",0.97017624
2022,"NM","hh1",0.23993391
2022,"NM","hh2",0.20613134
2022,"NM","hh3",0.18371556
2022,"NM","hh4",0.13643634
2022,"NM","hh5",0.10405214
2022,"NY","hh1",1.71289204
2022,"NY","hh2",1.33793814
2022,"NY","hh3",1.47073819
2022,"NY","hh4",1.55715218
2022,"NY","hh5",1.73308596
2022,"NC","hh1",1.03270251
2022,"NC","hh2",1.01016754
2022,"NC","hh3",0.94284589
2022,"NC","hh4",0.72709652
2022,"NC","hh5",0.74251448
2022,"ND","hh1",0.05310698
2022,"ND","hh2",0.06970504
2022,"ND","hh3",0.06324855
2022,"ND","hh4",0.08337906
2022,"ND","hh5",0.05505593
2022,"OH","hh1",1.08629385
2022,"OH","hh2",1.07422438
2022,"OH","hh3",0.96556039
2022,"OH","hh4",0.94522162
2022,"OH","hh5",0.87448939
2022,"OK","hh1",0.39652356
2022,"OK","hh2",0.35059477
2022,"OK","hh3",0.33293159
2022,"OK","hh4",0.3141092
2022,"OK","hh5",0.18644451
2022,"OR","hh1",0.25103646
2022,"OR","hh2",0.2909396
2022,"OR","hh3",0.36145098
2022,"OR","hh4",0.39125516
2022,"OR","hh5",0.38206544
2022,"PA","hh1",1.14328433
2022,"PA","hh2",1.08230487
2022,"PA","hh3",1.06364232
2022,"PA","hh4",1.04223633
2022,"PA","hh5",1.05985548
2022,"RI","hh1",0.07901596
2022,"RI","hh2",0.08819606
2022,"RI","hh3",0.08239563
2022,"RI","hh4",0.08974358
2022,"RI","hh5",0.09678071
2022,"SC","hh1",0.52103738
2022,"SC","hh2",0.53992433
2022,"SC","hh3",0.42872747
2022,"SC","hh4",0.39896861
2022,"SC","hh5",0.30569781
2022,"SD","hh1",0.07614827
2022,"SD","hh2",0.09006633
2022,"SD","hh3",0.08440994
2022,"SD","hh4",0.07623402
2022,"SD","hh5",0.05520557
2022,"TN","hh1",0.59360226
2022,"TN","hh2",0.72570506
2022,"TN","hh3",0.65051003
2022,"TN","hh4",0.56224308
2022,"TN","hh5",0.44014282
2022,"TX","hh1",2.28351008
2022,"TX","hh2",2.21165871
2022,"TX","hh3",2.25947631
2022,"TX","hh4",2.25837366
2022,"TX","hh5",2.12346947
2022,"UT","hh1",0.11641794
2022,"UT","hh2",0.17782472
2022,"UT","hh3",0.24288796
2022,"UT","hh4",0.27997144
2022,"UT","hh5",0.29028459
2022,"VT","hh1",0.05833639
2022,"VT","hh2",0.05281424
2022,"VT","hh3",0.0602748
2022,"VT","hh4",0.06347892
2022,"VT","hh5",0.0512373
2022,"VA","hh1",0.55953005
2022,"VA","hh2",0.62172495
2022,"VA","hh3",0.69840296
2022,"VA","hh4",0.65957849
2022,"VA","hh5",0.91047479
2022,"WA","hh1",0.45991131
2022,"WA","hh2",0.47064226
2022,"WA","hh3",0.65886059
2022,"WA","hh4",0.65973673
2022,"WA","hh5",0.80091996
2022,"WV","hh1",0.21564947
2022,"WV","hh2",0.17436214
2022,"WV","hh3",0.14952863
2022,"WV","hh4",0.10844089
2022,"WV","hh5",0.08562007
2022,"WI","hh1",0.44907176
2022,"WI","hh2",0.53531868
2022,"WI","hh3",0.57735174
2022,"WI","hh4",0.59283536
2022,"WI","hh5",0.3664299
2022,"WY","hh1",0.04199087
2022,"WY","hh2",0.04715439
2022,"WY","hh3",0.05594102
2022,"WY","hh4",0.05428299
2022,"WY","hh5",0.03661158
